I'm 19.	Tengo diecinueve.
We're starting to question what we thought we knew.	Nos estamos empezando a cuestionar lo que creíamos saber.
We're thinking about putting our house up for sale.	Estamos pensando en poner nuestra casa en venta.
You are working too hard. Take it easy for a while.	Estás trabajando demasiado duro. Relájate un rato.
You are working too hard. Take it easy for a while.	Estás trabajando demasiado. Relájate un tiempo.
You are working too hard. Take it easy for a while.	Estás trabajando muy duro. Tómelo con calma por un tiempo.
You are working too hard. Take it easy for a while.	Creo que será mejor que te pongas a dieta.
You're going to come up against fierce competition.	Va usted a tener una competencia feroz.
You're going to come up against fierce competition.	Te vas a enfrentar a una competencia feroz.
You're the most beautiful woman in the whole world.	Eres las mujer más bella en todo el mundo.
You're the only person I know who has a sports car.	Eres la única persona que conozco que tiene un deportivo.
You're tired, aren't you? Why don't you get to bed?	Estás cansado, ¿verdad? ¿Por qué no vas a la cama?
He is a gentleman. He cannot have said such a thing.	Él es un caballero. No puede haber dicho algo así.
He is happy about the progress he has recently made.	Él está contento por el avance que ha hecho en el último tiempo.
He is one of the most popular students in the class.	Él es uno de los estudiantes más populares de la clase.
He is such a bad person that everybody dislikes him.	Él es una persona tan mala que todos lo odian.
He's been confined to bed for the past three months.	Está enfermo en cama desde hace tres meses.
He's been staying at that hotel since five days ago.	Se ha quedado en ese hotel desde hace cinco días.
I am going to stay here till the day after tomorrow.	Voy a quedarme aquí hasta pasado mañana.
I am going to stay here till the day after tomorrow.	Me voy a quedar aquí hasta pasado mañana.
I am impatient with his inability to make decisions.	Su incapacidad para tomar decisiones me impacienta.
I'm a bit drunk. I think I should stop drinking now.	Estoy un poco borracho, creo que debería de dejar de beber ya.
I'm allergic to aspirin, penicillin, and sulfamides.	Soy alérgico a la aspirina, a la penicilina y a las sulfamidas.
I'm allergic to aspirin, penicillin, and sulfamides.	Soy alérgica a la aspirina, a la penicilina y a las sulfamidas.
I'm beginning to see why you like this game so much.	Comienzo a ver por qué te gusta tanto este juego.
I'm doing everything I can to avoid catching a cold.	Estoy haciendo todo lo posible para evitar pillar un resfriado.
I'm doing everything I can to avoid catching a cold.	Estoy haciendo todo lo que puedo para evitar pillar un resfriado.
I'm going to chock the wheels so the car won't move.	Voy a calzar las ruedas para que no se mueva el coche.
I'm going to make a little fruit salad for everyone.	Voy a preparar un poco de ensalada de frutas para todos.
I'm hanging a picture of my grandmother on the wall.	Estoy colgando en la pared una foto de mi abuela.
I'm looking for an easy-to-read manga with furigana.	Estoy buscando algún manga fácil de leer, con furigana.
I'm looking forward to going hunting with my father.	Estoy ansioso por ir a cazar con mi padre.
I'm looking forward to going hunting with my father.	Estoy deseando irme a cazar con mi padre.
I'm looking forward to seeing you again before long.	Espero con ganas a verte dentro de poco.
I'm not sure yet, but I think I'll become a teacher.	Todavía no estoy seguro, pero creo que voy a hacerme profesor.
I'm not the same person I was when you first met me.	No soy el hombre que era cuando me conociste por primera vez.
I'm pretty sure that I've seen that man here before.	Estoy bastante seguro de haber visto antes a ese hombre aquí.
I'm thinking of getting this translated into French.	Estoy pensando en que esto se traduzca al francés.
I'm very tired. I don't feel like taking a walk now.	Estoy muy cansado. No tengo ganas de ir a pasear.
She is too young to understand that her father died.	Ella es demasiado chiquita para comprender que su padre murió.
We are eating now. Could you please call back later?	Ahora estamos comiendo, ¿podría volver a llamar más tarde?
We're going out for lunch. Do you want to come, too?	Vamos a salir a almorzar. ¿Quieres venir también?
We're going out for lunch. Why don't you come along?	Vamos a salir a almorzar. ¿Por qué no vienes?
We're planning to go to Australia for our honeymoon.	Estamos planeando ir a Australia para nuestra luna de miel.
You're asking me to do something I don't want to do.	Me estás pidiendo que haga algo que no quiero hacer.
You're not an expert at this job any more than I am.	Tu no eres más experto que yo en este trabajo.
He is a nice person, to be sure, but not very clever.	Él es una persona maja, estate seguro, pero no muy listo.
He's not such a great writer and I think he knows it.	Él no es muy buen escritor, y creo que lo sabe.
He's very nice, which is why I like working with him.	Es muy simpático, por eso me gusta trabajar con él.
I am more worried about you than the future of Japan.	Estoy más preocupado por ti que por el futuro de Japón.
I am not going out because I have to clean the house.	No voy a salir porque tengo que limpiar la casa.
I'm aware that every choice I make has a consequence.	Estoy consciente de que cada decisión que tomo acarrea una consecuencia.
I'm confident that Tom will do what he says he'll do.	Estoy seguro de que Tom hará lo que dice que hará.
I'm going back to Boston. I've had enough of Chicago.	Me vuelvo a Boston, ya me he hartado de Chicago.
I'm going back to Boston. I've had enough of Chicago.	Me vuelvo a Boston, ya me he cansado de Chicago.
I'm going to make you an offer that you can't refuse.	Voy a hacerte una oferta que no podrás rechazar.
I'm in the middle of something. Can you call me back?	Estoy en medio de algo, ¿me puedes llamar después?
I'm inside the bathroom because I'm washing my hands.	Estoy en el baño porque me lavo mis manos.
I'm likely going to have a difficult time doing that.	Es muy probable que encuentre dificultades para hacer eso.
I'm likely going to have a difficult time doing that.	Es muy probable que lo tenga bastante complicado para hacerlo.
I'm looking forward to seeing you in a wedding dress.	Espero con ganas verte en tu vestido de bodas.
I'm looking forward to seeing you in a wedding dress.	Estoy deseando verte vestida de novia.
I'm not sure if that was a good thing or a bad thing.	No estoy seguro de si eso fue bueno o malo.
I'm not sure what time the concert is going to start.	No estoy seguro de a qué hora comenzará el concierto.
I'm really bad with names, but I never forget a face.	Soy muy malo con los nombres, pero nunca olvido una cara.
I'm sick and tired of you always parking in my space.	Estoy enfermo y cansado de que siempre te estaciones en mi lugar.
I'm so tired that I don't feel like studying tonight.	Estoy tan cansada que no tengo ganas de estudiar esta noche.
I'm sure that tomorrow I'm not going to pass my exam.	Estoy segura de que mañana no voy a aprobar mi examen.
We are looking forward to seeing you and your family.	Estamos deseando veros a ti y a tu familia.
We're in the second week of an unrelenting heat wave.	Estamos en la segunda semana de una implacable ola de calor.
You are not to leave this room without my permission.	No vas a salir de esta habitación sin mi permiso.
He's the kind of guy who doesn't take women seriously.	Él es del tipo de hombres que no toman muy en serio a las mujeres.
I am allergic to aspirin, penicillin, and sulfa drugs.	Soy alérgico a la aspirina, a la penicilina y a las sulfamidas.
I am allergic to aspirin, penicillin, and sulfa drugs.	Soy alérgica a la aspirina, a la penicilina y a las sulfamidas.
I am deeply indebted to my friends for all their help.	Estoy profundamente en deuda con mis amigos por toda su ayuda.
I am not sure whether I will be able to come with you.	No estoy seguro de poder ir con vosotros.
I am very glad to hear that you speak Scottish Gaelic.	Me alegra oír que hablas escocés gaélico.
I'm afraid you'll have to learn to live with the pain.	Me temo que tendrás que aprender a vivir con el dolor.
I'm going off to Vancouver next week to see my sister.	Voy a Vancouver la semana que viene a ver a mi hermana.
I'm planning to read as many books as I can this year.	Este año pienso leer todos los libros que pueda.
I'm probably the only person who can help you do that.	Soy probablemente la única persona que te puede ayudar a hacer eso.
I'm probably the only person who can help you do that.	Probablemente sea yo la única persona que te pueda ayudar a hacer eso.
I'm the only one who was able to do that without help.	Soy el único que podía hacer eso sin ayuda.
